num_epoch, train_loss, train_acc, valid loss, valid_test
Model 0, policy step [False, False, False, False, False, False, False, True].
Final Valid Loss: 0.538150, Final Valid Acc: 81
Model 6, policy step [False, True, True, True, True, True, True, True].
1,0.290719,91,0.540254,82
2,0.303064,90,0.541275,82
3,0.323317,89,0.536352,81
4,0.283883,91,0.534473,81
5,0.254324,91,0.534955,81
6,0.287208,91,0.531032,82
7,0.288865,89,0.531081,81
8,0.277686,91,0.528462,82
9,0.294131,91,0.529329,82
10,0.248875,92,0.528640,82
Model saved at 1571876358/6.pt
Final Valid Loss: 0.528640, Final Valid Acc: 82
Model 7, policy step [True, True, True, True, True, True, True, True].
1,0.282539,90,0.529306,82
2,0.281316,91,0.527514,82
3,0.258353,92,0.526067,82
4,0.265466,92,0.523551,82
5,0.272599,91,0.523887,82
6,0.256556,91,0.521436,82
7,0.247778,92,0.525126,82
8,0.242895,93,0.521307,82
9,0.235902,93,0.519898,82
10,0.268857,91,0.521997,82
11,0.244640,93,0.519621,82
12,0.259036,91,0.516538,82
13,0.245902,92,0.518753,82
14,0.233790,93,0.518735,82
Model saved at 1571876358/7.pt
Final Valid Loss: 0.518735, Final Valid Acc: 82
